,date,rf
251,2020-12-31,4.2246338522921665e-05
252,2021-01-29,4.43586739325525e-05
253,2021-02-26,2.534756019133e-05
254,2021-03-31,1.26737008835075e-05
255,2021-04-30,4.224546424870749e-06
256,2021-05-28,4.224546424870749e-06
257,2021-06-30,2.957224802543833e-05
258,2021-07-30,4.647104337551417e-05
259,2021-08-31,3.379685958032667e-05
260,2021-09-30,3.802159377018e-05
261,2021-10-29,4.2246309184121666e-05
262,2021-11-30,6.759484577918501e-05
263,2021-12-31,4.2246309184121666e-05
264,2022-01-31,2.957220489815417e-05
265,2022-02-28,5.9145301110025e-05
266,2022-03-31,3.379691591032333e-05
267,2022-04-29,0.0002915377602970917
268,2022-05-31,0.0005746998840538417
269,2022-06-30,0.0009340958457161667
270,2022-07-29,0.0018055911626338335
271,2022-08-31,0.0019623358190475836
272,2022-09-30,0.00227128787184275
273,2022-10-31,0.002881135654291083
274,2022-11-30,0.0033203032800051668
275,2022-12-30,0.0033262994360549166
276,2023-01-31,0.003737145217115583
277,2023-02-28,0.003682024931744917
278,2023-03-31,0.0038881788842497506
279,2023-04-28,0.0034746881452196667
280,2023-05-31,0.004128715554031166
281,2023-06-30,0.004301849576203167
282,2023-07-31,0.004441577172609583
283,2023-08-31,0.004463451834298833
284,2023-09-29,0.004471612723112499
285,2023-10-31,0.004475197655959584
286,2023-11-30,0.004454961785125084
287,2023-12-29,0.004484346181478084
288,2024-01-31,0.004425569685233417
289,2024-02-29,0.004488922451048167
290,2024-03-28,0.0044719419616765
291,2024-04-30,0.004466711241662584
292,2024-05-31,0.0044652460578970005
293,2024-06-28,0.004467368274897333
294,2024-07-31,0.0044637798872725004
295,2024-08-30,0.004380361263018917
296,2024-09-30,0.0038262963416366663
297,2024-10-31,0.0037519827902054996
298,2024-11-29,0.003474952986778501
299,2024-12-31,0.0033372916186482503
